ID_questionnaire;civilite;diplome;promo;admission;nationalite1;FR/UE/HUE;Age;FormComp;DeaMsc;Doctorat;DESSMBA;AutresForm;LieuForm;SitPro;RecchEmp;RecchAutre;NbExp;NbreEmp;AnnRef;TypEntrep;CreaEnt;Dirigeant;EntIndep;TailEntrp;TaGrpe;LieuTra;EntrFra;Pays;Rep;NbEnc;Activité principale employeur;AutAct;Société;Fonction;FonctAut;DomAct;DomActAut;Poste;Mission;AnnSal;SalBrut;SalVar;SalPart;SalAvant;Aspi;Atouts;Freins
454;2;1;31;9;FRANCE;FR;28;2;;;;;;1;;;4;2;2009;1;2;2;2;8;8;1;;;5;2;6;;Accenture;11;;4;;Consultant;Réorganisation de services liés à la gestion des sinistres dans le domaine de l'assurance,;2008;54 000;;5 000;3 000;2;;
56;2;3;31;1;FRANCE;FR;25;2;;;;;;1;;;3;1;2009;1;2;2;1;8;;1;;;5;2;6;;Accenture;11;;8;;Ingénieur Conseil;Travailler auprès des DSI afin d'améliorer leur efficacité à l'aide de processus et méthodes reconnues type ITIL,;2008;41 200;;2 000;;3;Diplôme Télécom Paris / Eurécom  Multi-lingues  Capacités de présentation et d'organisation;Exploitation d'un réseau de personnes  Sujets politiques
572;2;3;30;4;MADAGASC;HUE;28;2;;;;;;1;;;4;1;2009;1;2;;2;8;8;1;;;5;3;6;;Accenture;11;;5;;Strategy Consultant;;2008;50 000;;5 000;;3;;
614;2;3;27;1;FRANCE;FR;30;2;;;;;;1;;;8;2;2009;1;2;2;1;8;;3;;7;5;5;6;;Accenture;4;;8;;Manager;Integration de systemes;2008;80 000;;5 000;;1;Expertise technique;
600;2;3;29;1;FRANCE;FR;28;2;;;;;;1;;;5;1;2009;1;2;2;1;8;;3;;7;1;2;6;;Accenture;11;;8;;consultant;Conception/ implementation de systemes d'informations pour la chaine logistique;2009;80 000;;5 000;;2;adaptabilite;
191;2;3;28;4;FRANCE;FR;31;2;;;;;;1;;;5,5;1;2009;1;2;2;1;7;;1;;;5;5;6;;Accenture;12;;8;;Manager;- Réponse à des appels d'offre,  - Chef de projet (Design et déploiement de solution);2009;70 000;0;8 000;;1;motivation, ouverture d'esprit.;
534;2;3;16;1;FRANCE;FR;43;2;;;;;;1;;;16;3;2009;1;2;2;1;8;;1;;;2;7;6;;Accenture;11;;8;;Executive Partner;Responsable Clients;2008;570 000;200 000;8 000;;2;;
228;2;3;22;1;FRANCE;FR;34;2;;;;;;1;;;12;1;2009;1;2;2;2;8;8;1;;;2;6;6;;Accenture;11;;5;;Partner;Partner dans le secteur Communications & High Tech,;2008;150 000;25 000;10 000;;1;Energie, opiniâtreté, réseau;
844;2;3;29;1;FRANCE;FR;29;1;2004;;;;1;1;;;4;1;2009;1;2;2;1;8;;1;;;5;4;6;;Accenture;11;;8;;Consultant en Systèmes d'Information;Piloter 2 équipes chargées de concevoir, réaliser et déployer un nouvel SI pour le compte d'une grande entreprise du domaine de l'énergie.;2008;53 600;1 500;11 800;;2;Une expérience de stage à l'étranger  Un diplome reconnu  Le réseau des anciens dans l'entreprise;
625;2;3;13;9;FRANCE;FR;46;2;;;;;;1;;;20;5;2009;1;2;2;1;6;;1;;;4;4;1;;ACOME;8;;;équipementier telecoms;Responsable commercial export;;2009;60 000;;3 000;;3;;
889;2;3;25;1;MEXIQUE;HUE;34;2;;;;;;1;;;9;2;2009;1;1;1;1;1;;1;;;3;5;5;;ACT4CONSULTING;4;;8;;Architecte EAI/SOA (gérant de société aussi);;2008;50 000;0;;;1;sens de l'autonomie et la rencontre d'autrui..;le manque d'experience au début
362;2;1;29;9;PALESTIN;HUE;31;2;;;;;;2;1;;5;3;2008;1;2;;;7;;1;;;5;1;5;;Actuellement sans emploi  ancienne entreprises   Devoteam  Bosch ;5;;6;;dernier poste  ingénieur de production;;;32 000;0;0;0;3;;
62;2;3;25;1;FRANCE;FR;31;1;1999;2003;;;1;1;;;9;1;2009;1;2;2;1;2;;1;;;1;1;4;;AdaCore;2;;;Génie logiciel;Senior Software Engineer;Développement et support sur des outils pour les applications embarquées, les systèmes temps réel et les systèmes critiques,;2008;60 000;0;4 000;360;2;;
24;2;3;30;1;FRANCE;FR;28;1;;;;;1;1;;;4;1;2009;1;2;;1;2;;1;;;4;2;4;;AdaCore;2;;11;;Software Engineer;Développement logiciel + relation commerciale à caractère technique,;2008;46 000;0;6 000;1 500;3;Un caractère autodidacte.;Une mauvaise orientation initiale c'est-à-dire post-bac.
590;2;3;1;1;FRANCE;FR;56;1;1977;1986;;;3;1;;;32;4;2009;1;1;2;2;1;5;1;;;1;1;5;;Adalog;2;;11;;Directeur technique;Formation, expertise, conseil en langage Ada;2008;60 000;6 000;;;2;Expertise reconnue;Manque de support de la part du groupe
1028;2;1;20;9;FRANCE;FR;39;1;;;2009;;1;1;;;15;4;2009;1;1;1;1;1;;1;;;3;1;12;;ADELIT;11;;;TIC;Associé;développer l'activité de ma société;2008;110 000;20 000;;5 000;1;;compréhension globale du management de société
1179;2;1;30;9;FRANCE;FR;28;2;;;;;;1;;;5;2;2009;1;2;2;1;5;;1;;;4;1;5;;adneom technologies;2;;4;;Consultant nouvelles technologies;Etude/développement logiciels;2008;43 000;0;3 000;;3;;
481;2;5;24;9;SYRIE;HUE;39;1;;;2009;;2;1;;;11;11;2009;1;1;1;1;2;;3;;12;3;5;6;;Advanced Tech;4;;9;;General Director, PDG;Diriger la societe ;;;;;;2;jamis perdre l'espoir, et rien est impossible;le pratique ne resemble pas a la theorie. On peur faire confience a tres peu des gens 
254;2;3;22;1;FRANCE;FR;34;2;;;;;;1;;;12;2;2009;1;2;2;1;3;;1;;;2;4;12;;Advention Business Partners;14;;5;;Vice Président;Vendre et conduire des missions de conseil en stratégie pour le compte de clients allant de la PME aux grands comptes;2008;136 000;18 000;;;2;Persévérance / capacités analytiques;Seuil d'incompétence trop bas dans certains domaines
1188;2;3;31;4;FRANCE;FR;28;2;;;;;;1;;;3;2;2009;1;2;;1;6;;4;1;5;5;3;5;;AFD Technologies;5;;6;;Project Manager;Chef de projet d'une offre forfait pour un client opérateur Mobile. Le projet consiste en la réalisation technique des ouvertures roaming avec les roaming Prtner de notre client  implémentation du réseau, test IREG et validation TADIG, troubleshooting.;2008;35 000;;;;2;Dîplome ENST  personalité;Manque de temps hors des horaires de travail (famille oblige!!)
1159;2;3;19;1;FRANCE;FR;38;1;1994;1999;;;1;1;;;10;3;2009;2;2;2;1;7;;4;2;5;6;4;17;;Agence Spatiale Européenne;1;;;Télédétection spatiale civile;Chef du Service Propagation et Interaction;Support technique aux projets de l'ASE et implication dans la R&D européenne dans le domaine de la propagation et de l'intéraction éléctromagnétique pour des applications de télédétection spatiale.;2008;100 000;0;;0;1;Formation, intérêt personnel, contacts et opportunités.;Méconnaissance des opportunités à l'étranger et dans le monde institutionnel à la sortie d'Ecole 
859;2;3;17;4;FRANCE;FR;42;2;;;;;;1;;;16;1;2009;1;2;2;1;8;;1;;;4;1;9;;Agilent Technologies;8;;3;;Business Development Manager;Vente de solution de test électonique personalisées;2008;77 000;7 700;10 000;2 200;2;Flexibilité  Rapidité  Communication;
142;2;3;30;1;FRANCE;FR;29;1;2005;;;;2;1;;;3,5;2;2009;1;2;;;7;;1;;;2;6;15;;AGS Relocations;;logistique, transport;;logistique, transport;Directeur Business Units;Management de 3 Business Units gérant des imports exports internationaux;2008;65 000;10 000;;;3;Quitter une grande entreprise pour aller dans une PME;Age (trop jeune)
227;2;3;11;5;FRANCE;FR;49;2;;;;;;1;;;24;;2009;1;2;1;1;1;;1;;;3;4;13;;AiCarnot;1;;5;;D,G,;Animation d'un réseau de laboratoires de recherche;2008;9 200 000;;;;1;Esprit de synthèse, ouverture relationnelle;
1247;2;3;23;1;FRANCE;FR;35;2;;;;;;1;;;10;2;;1;2;2;2;8;8;2;;;6;5;15;;Air France;2;;8;;Responsable de ligne de produit;Animation d'une équipe d'experts techniques;2008;65 000;0;3 000;0;2;Engagement, mobilité;
1199;2;3;30;1;FRANCE;FR;27;2;;;;;;1;;;4;2;2009;1;2;2;2;8;8;2;;;4;3;15;;Air France;2;;8;;Analyste programmeur senior;Conception et réalisation de composants logiciels de système d'information;2008;44 000;0;2 000;2 000;2;- capacité de compréhension et adaptation  - compétences en développement et algorithmique/mathématiques  - anglais  - stage a l'etranger;- aspect recherche du stage qui faisait craindre l'ennui  
474;2;3;30;2;ITALIE;UE;30;2;;;;;;1;;;5;1;2009;1;2;2;2;8;8;4;1;7;5;3;15;;Air France - KLM;4;;7;;Telecommunication Strategy manager for the AMERICAS;- Chef de Projet  - Etude d'opportunité  - Organisation des operations   - etc;2008;50 000;0;2 000;0;1;dynamisme   - esprit multiculturel  - Langues parlées  - Relations interpersonel;
475;1;1;29;9;FRANCE;FR;37;2;;;;;;1;;;10;4;2009;1;2;;;8;;1;;;5;1;10;;Air Liquide;9;;;marketing multimedia;chargée de mission marketing multimedia;développer la stratégie d'actionnariat individuel du groupe en mettant en place et développant les outils web et multimedia;2008;37 000;;2 500;;3;ma polyvalence + mon mastere specialisé Telecom;parcours varié pouvant inquiéter
642;2;3;17;1;FRANCE;FR;41;2;;;;;;1;;;16;4;2009;1;2;2;2;8;8;2;;;5;3;17;;Airbus;12;;11;;Connectivity Program Director;Product Manangement, Partnership Management, Program Management;2008;79 000;9 000;2 000;2 000;2; Mobilité  - prise de risque  - experience multi culturelle;- Difficulté de retour en France etant expatrié pour 9 ans  - Marché de l'emploi tres fermé et rigide en France
1141;1;3;21;4;FRANCE;FR;37;1;;;1996;;1;1;;;14;4;2009;1;2;2;2;8;8;2;;;6;5;17;;AIRBUS;4;;8;;Responsable de Service Architecture et Intégration;Management de groupe  responsable de mettre en oeuvre les activités d'architecture et d'intégration d'un système d'information avions/sol ainsi que les process, methodes et outils et les activités de R&D correspondantes;2008;57 000;4 000;1 000;;2;Mes formations, ma motivation;
910;2;3;18;1;FRANCE;FR;39;2;;;;;;1;;;15;3;2009;1;2;2;2;7;8;2;;;5;1;17;;Airbus SAS;12;;;Aéronautique;A350 PLM PDT Extended Enterprise Coordinator;Déploiement des outils et méthodes aux fournisseurs;2008;58 016;5 000;0;0;3;Rigueur, Ouverture d'esprit;Trop honnête
211;2;3;30;1;LIBAN;HUE;28;2;;;;;;1;;;4;1;2009;1;2;2;1;5;;3;;7;4;1;1;;Airvana Inc,;2;;6;;Sr, Software Engineer;Developpement d'equipements pour les reseaux d'acces mobile (wireless) de donnees CDMA,;2008;74 000;0;0;0;2;Ma formation diversifiee a l'ecole, portant sur les reseaux et l'informatique (genie logiciel, systemes d'exploitation);La situation difficile de l'emploi en France a l'epoque (2004) - ce qui m'a conduit a aller a l'etranger.
197;2;3;22;4;FRANCE;FR;37;2;;;;;;1;;;12;3;2009;1;1;1;1;1;;2;;;3;2;4;;Akompas Technologies;;Handicap;2;;Gérant;Développement Commercial  Développement Technique  Markéting  Gestion administrative ;2008;45 000;0;0;0;1;Mes compétences techniques et l'envie de créer.;Mon manque de connaissances dans les domaines du Markéting ainsi que de la fonction commerciale.
1228;2;3;6;5;FRANCE;FR;52;2;;;;;;1;;;28;3;2009;4;1;1;1;1;;1;;;4;1;5;;ALAIN BRION SARL;2;;8;;Gérant;Conception et développement des systèmes de petite taille;2008;36 000;0;15 000;;1;Autonomie;Paresse
807;2;3;17;4;FRANCE;FR;43;2;;;;;;1;;;18;3;2009;1;2;2;2;6;8;1;;;4;1;1;;Alcatel;8;;6;;marketing & sales manager;negocier des contrats de fourniture de systemes de telecommunication.;2008;80 000;8 000;;;3;polyvalence, capacité d'adaptation;problemes personnels
515;2;6;11;5;FRANCE;FR;48;2;;;;;;1;;;23;5;2009;1;2;;2;8;8;1;;;2;8;1;;ALCATEL ;10;;7;;VP et directeur général;Développer l'activité de façon rentable, en antcipant sur les évolutions techniques et marché à venir.;2008;300 000;60 000;10 000;;2;ëtre un développeur de tempérament. ;La politique interne...
901;2;1;19;9;FRANCE;FR;39;2;;;;;;1;;;14;2;2009;1;2;2;2;8;8;1;;;6;6;1;;Alcatel Lucent;;Support technique aux projets;6;;;;2008;73 000;0;7 000;1 000;1;;
592;2;3;27;1;TUNISIE;HUE;31;2;;;;;;1;;;6;4;2009;1;2;2;1;8;;1;;;1;1;1;;Alcatel-Lucent;3;;;Wireless;Architecte Modem HDxPA;Etudes, définition, spécification des solutions Modem HSxPA;2009;43 200;0;0;0;2;;
569;2;5;29;9;LIBAN;HUE;34;2;;;;;;1;;;5;2;2009;1;2;2;1;8;;1;;;5;1;1;;Alcatel-Lucent;9;;6;;3G Product Manager;- Expertise système 3G  - Support technique aux appels d'offres  - Business development   - Marketing;2008;52 700;0;0;0;3;;
914;2;3;1;9;LIBAN;HUE;65;2;;;;;;2;2;;39;1;2008;1;2;;2;2;2;3;;12;2;6;1;;Alcatel-Lucent;4;;6;;Directeur de la succursale du Liban;Gérer et superviser la réalisation des contrats d'installation et de support du réseau libanais.;2008;85 000;0;0;0;3;Formation, persévérances, rigueur, facilité de contact;Encadrement, contacts hiérarchique avec mes supérieurs, faible dimension de la structure.
1073;2;3;4;5;FRANCE;FR;57;2;;;;;;1;;;34;5;2009;1;2;;2;8;8;1;;;1;1;1;;Alcatel-Lucent;4;;6;;Architecte logiciel de Stations radios wCDMA(ou UMTS);Définir les architectures et les spécifications des modules des stations radio UMTS/wCDMA, et de leur interfaces.  Coordonner les équipes d'architecture et de développement en Chine, Inde, USA, UK, Allemagne, France;2008;85 800;0;0;0;3;Persévérance dans le travail, esprit d'analyse, mémoire. Rigueur scientifique. Capacité à expliquer clairement des sujets complexes.;Les aspects comportementaux, relationnnels se sont révélés essentiels dans les fonctions de management et même d'expert, mais ma formation initiale(X+Télécom Paris) ne m'a pas préparé à réussir cela.
1105;2;3;20;4;FRANCE;FR;39;2;;;;;;1;;;14;2;2009;1;2;2;;8;;1;;;5;5;1;;Alcatel-Lucent;12;;6;;Chef de projet technique;Responsable de la réalisation technique d'un projet;2008;79 000;7 000;600;0;1;Relationnel client  Capacités d'adaptation  Ouverture d'esprit  Rigueur;
71;2;3;20;4;FRANCE;FR;37;2;;;;;;1;;;14;1;2009;1;2;2;1;8;;2;;;5;1;1;;Alcatel-Lucent;9;;7;;Chef de produit applications multimedia mobile;definir et mettre sur le marché des solutions innovantes multimedia;2008;61 000;3 000;1 000;0;3;formation solide;manque de formation continue
724;2;1;17;9;FRANCE;FR;42;2;;;;;;1;;;18;4;2009;1;2;2;1;8;;4;1;4;1;1;1;;Alcatel-Lucent;2;;6;;Ingenieur developement;Assurer le bonne coordination techniques entre l'angleterre les autres equipes (France, US, Chine, Inde);2008;66 000;5 000;1 000;0;2;J'ai effectue 7 missions (> 2 ans) dans 5 pays differents. Mon principal atout est l'empathie. C'est a dire comprendre les differentes cultures et facon de travailler.;ne pas montrer assez de deference envers les management locaux.
1164;1;4;26;9;FRANCE;FR;32;2;;;;;;1;;;8,5;1;2009;1;2;2;1;8;;1;;;1;1;1;;Alcatel-Lucent;3;;6;;Ingénieur système UMTS;Etudes techniques et spécificatins systèmes pour définir les nouvelles fonctions à implémenter sur les infrastructures de réseaux mobiles UMTS;2008;52 500;4 000;1 500;0;2;Expertise technique, innovation, formation;
1177;2;1;23;9;ESPAGNE;UE;38;1;;;2005;;2;1;;;11;1;2009;1;2;2;1;8;;1;;;4;1;1;;Alcatel-Lucent;14;;5;;;Consultant en Stratégie;2009;57 000;0;2 000;0;3;;
891;1;3;17;1;FRANCE;FR;41;2;;;;;;1;;;17;3;2009;1;2;;2;7;8;1;;;1;1;1;;Alcatel-Lucent;6;;6;;Network performance engineer;ingénierie radio umts optimisation performance support technique deploiement terrain;2008;58 000;4 800;2 000;0;3;Mon goût pour la technique et la radio  ma formation  ;le changement des métiers techniques en France   beaucoup trop de gestion et de reporting
557;2;3;1;1;FRANCE;FR;59;2;;;;;;2;2;;35;3;2008;1;2;;2;7;8;1;;;6;2;1;;Alcatel-Lucent;7;;7;;Customer Satisfaction & Quality Director;Assurer dans mon département (600 p) la mise en oeuvre et le suivi des objectifs annuels contribuant à la qualité de nos engagements contractuels clients et internes groupe ;2008;124 000;11 000;2 000;0;2;Communication et relationnel avec les subordonnés, collègues et partenaires professionnels;changements de l'environnement dûs aux multiples restructurations industrielles du secteur d'activité
1163;2;3;24;5;FRANCE;FR;36;2;;;;;;1;;;10;1;2009;1;2;2;1;8;;1;;;5;9;1;;Alcatel-Lucent;3;;6;;Chef de projet technique UMTS;Reponsable de coordonner les activités R&D permettant une livraison logicielle majeure des equipements de reseaux mobiles UMTS;2008;85 235;12 413;2 000;0;2;Connaissances techniques  Formation  Innovation, capacité de reflexion, motivation;
333;2;3;1;1;FRANCE;FR;57;1;;1;;;1;1;;;32;1;2009;1;2;2;2;8;8;1;;;2;5;1;;Alcatel-Lucent;8;;6;;Business Programs leader;Diriger les activités dans certains secteurs clés, porteurs de croissance vis à vis d'un client important;2008;180 000;36 000;4 000;0;2;Technicité, adaptativité;trop de temps passé dans la R&D
533;2;3;18;1;FRANCE;FR;40;2;;;;;;1;;;15;3;2009;1;2;2;2;8;8;1;;;4;1;1;;Alcatel-Lucent;4;;6;;Architecte Système UMTS R&D;Analyser les demandes des clients au niveau système et produire les documents définissant les exigences système et produits correspondantes;2008;57 930;0;667 000;0;2;expertise technique, persévérance, autonomie, travail en projet, clarté de presentation, communication verbale et écrite, travail en environnement multi-culturel;perfectionnisme
776;2;1;23;9;FRANCE;FR;46;2;;;;;;1;;;21;3;2009;1;2;2;2;8;8;1;;;4;1;1;;Alcatel-Lucent;8;;6;;Sales Manager;Commercial. Vente de produits et services télécoms à des operateurs fixes et mobiles;2008;100 000;32 000;1 000;1 000;2;Capacité à changer de fonction tous les 2 ou 3 ans, soit volontairement, soit suite aux contraintes d'organisation.;Manque de visibilité sur la stratégie de l'entreprise  
838;2;3;30;1;FRANCE;FR;27;1;2004;;;;1;1;;;4;1;2009;3;2;2;2;8;8;3;;6;6;4;1;;Alcatel-Lucent;8;;6;;Head of business development/presales department Russia& CIS - wireless transmission product group;presales / business development in the Russia & CIS region.;2009;79 000;12 000;;2 000;2;;
870;2;3;19;5;FRANCE;FR;42;2;;;;;;1;;;16;1;2009;1;2;2;2;8;8;1;;;6;1;1;;Alcatel-Lucent;10;;6;;Business Operation Manager;;2008;120 000;1 000;1 000;6 000;3;;
1160;2;3;5;1;FRANCE;FR;52;2;;;;;;1;;;28;5;2009;1;1;2;1;8;;1;;;1;2;1;;Alcatel-Lucent;8;;6;;Business development France;Identifier, qualifier les opportunitiés de nouvelles affaires (nouveaux clients et/ou nouvelles solutions);2008;133 000;22 000;;10 000;2;Curiosité, non conformisme, créativité;Manque d'ambition
65;2;3;23;4;FRANCE;FR;36;2;;;;;;1;;;12;2;2009;1;2;2;1;8;;3;;12;2;7;1;;Alcatel-Lucent;9;;5;;Solution, Strategy & Marketing VP ;Responsable de la definition et implementation de la strategie sur 3 ans pour la region Sud-Est Asiatique, ;2008;330 000;60 000;0;90 000;2;Capacite a construire un excellent carnet d'adresses et comprendre comment l'utiliser.;La realite du marche est tres differente du cote academique instruit en ecole. La formation ecole d'ingenieur est ideale pour la R&D ou l'Ingenierie. Cependant pour arriver aux manettes de grosses societes, il est important de comprendre la politique, ses rouages... Choses que l'on apprend sur le tas (ou pas!).
219;2;3;30;1;FRANCE;FR;27;2;;;;;;1;;;5;1;2009;1;2;2;1;8;;1;;;5;1;1;;Alcatel-Lucent;8;;6;;Support commercial Optique sur la région EMEA ;Support commercial Moyen-Orient / Balkans sur tout le portefeuille Optique d'Alcate-Lucent, incluant les technologies OMSN/WDM/FH;2008;45 000;2 000;1 000;;2;Flexibilité  Relationnel;
1244;2;3;14;4;FRANCE;FR;45;2;;;;;;1;;;20;2;;1;2;;2;8;8;2;;;4;1;1;;Alcatel-Lucent;4;;6;;;;2008;58 000;3 000;1 000;;3;;
800;1;3;18;4;FRANCE;FR;42;1;;;2007;;1;1;;;16;2;2009;1;2;;1;8;;1;;;5;1;1;;Alcatel-Lucent;9;;7;;Solution Manager;Comprendre les besoins des operateurs dans le domaine de solutions d'Entreprises, modifier la solution dans ce sens, créer d'autres solutions Entreprise pour incrementer le business;2009;60 000;5 000;1 000;;2;Formation Telecom, EMBA, experience, les resultats, capacité d'adaptation;Femme
134;2;3;20;1;FRANCE;FR;28;2;;;;;;1;;;14;1;2009;1;2;2;1;8;;1;;;1;1;1;;Alcatel-Lucent;;Support avant vente;6;;Directeur Technique;Définir des solutions réseaux de bout en bout;2008;76 000;8 000;1 000;;2;Compétences techniques, ouverture d'esprits, esprit d'équipe;Structure lourde des grands groupes
847;2;3;11;1;FRANCE;FR;47;2;;;;;;1;;;24;3;2009;1;2;2;2;8;8;1;;;2;6;1;;Alcatel-Lucent;12;;6;;Program Management Director;Piloter le développement et l'introduction d'équipements d'accès radio UMTS et paliers logiciels associés.;2008;100 000;8 000;1 000;;2;Compétences techniques et mangériales, investissement personnel;
35;2;3;26;1;FRANCE;FR;33;2;;;;;;1;;;9;3;2009;1;2;2;1;8;;1;;;4;1;1;;Alcatel-Lucent;1;;6;;Ingénieur développement matériel;Développement de cartes numériques;2008;51 200;0;1 500;;2;;
292;2;1;29;9;FRANCE;FR;29;2;;;;;;1;;;5;2;2009;1;2;2;1;8;;1;;;1;4;1;;Alcatel-Lucent;1;;6;;Manageur d'équipe de tests en R&D;Manager une équipe d'ingénieur en tests d'intégration système sur les équipements de téléphonie mobile LTE;2008;44 000;1 500;700 000;;2;;
766;2;5;26;9;FRANCE;FR;36;2;;;;;;1;;;8;1;2009;1;2;;2;5;8;1;;;1;3;1;;Alcatel-Lucent;13;;4;;Directeur Risques et Conformité;Contrôle des risques en trésorerie (risque de change, taux, contrepartie, opérationnels);2008;80 000;4 000;;;1;Flexibilité, networking;
690;1;3;24;1;FRANCE;FR;33;2;;;;;;1;;;10;1;2009;1;2;2;1;8;;1;;;5;1;1;;Alcatel-Lucent;12;;7;;Broadcast Mobile TV Solution Manager;Developpement (definition des besoins, suivi, roadmap) d'une solution E2E de broadcast de TV pour reseau mobile et promotion client;2008;62 500;4 800;;;3;Capacité d'adaptation, compétences techniques;Pas de suivi de mon management pour me faire evoluer
902;2;3;1;1;FRANCE;FR;59;2;;;;;;2;2;;36;1;2008;1;2;;2;8;8;1;;;6;6;1;;Alcatel-Lucent;2;;6;;;;2007;97 500;9 500;;;2;;
975;2;3;12;4;FRANCE;FR;45;2;;;;;;1;;;22;3;2009;1;2;2;2;8;8;1;;;2;9;1;;Alcatel-Lucent;1;;6;;Vice President WCDMA;directeur technique R&D;2008;200 000;30 000;;;3;travail, leadership, disponibilité;
1066;2;3;30;4;CHINE;HUE;28;2;;;;;;1;;;4;3;2009;1;2;2;2;8;8;1;;;6;3;1;;Alcatel-Lucent;4;;6;;ingénieur d'intégration;responsable d'intégration Système OAM WCDMA & LTE;;41 000;;;;3;autonome;compétence
559;2;3;1;1;FRANCE;FR;58;1;;;1990;;2;1;;;33;8;2009;1;2;;2;6;8;1;;;1;1;1;;Alcatel-Lucent;9;;6;;analyste;analyse concurrentielle;2008;65 000;;;;4;;manque de clairvoyance
1132;2;3;16;1;FRANCE;FR;41;2;;;;;;1;;;19;3;2009;1;2;2;2;7;8;1;;;5;1;1;;Alcatel-Lucent;12;;6;;RPMO - Processes & Tools;responsible to make sure the customer facing Project Managers are able to understand and use the tools and processes;;70 680;;;;2;;
